Year,"Perkhidmatan penginapan
Accommodation services","Perkhidmatan penyediaan makanan dan minuman
Food and beverage serving services","Perkhidmatan pengangkutan penumpang 
Passenger transport services","Perkhidmatan agensi pengembaraan dan penempahan lain 
Travel agencies and other reservation services","Perkhidmatan kebudayaan sukan dan rekreasi
Cultural sports and recreational services","Jualan runcit bahan api kenderaan
Retail sale of automotive fuel","Perdagangan runcit
Retail trade","Perkhidmatan khusus bercirikan pelancongan negara 
Country-specific tourism characteristic services","Jumlah Nilai Ditambah Kasar Industri Pelancongan
Total Gross Value Added of Tourism Industries","Nilai Ditambah Kasar Pelancongan Langsung
Tourism Direct Gross Value Added ","Keluaran Dalam Negeri Kasar Pelancongan Langsung
Tourism Direct Gross Domestic Product ","Keluaran Dalam Negeri Kasar
Gross Domestic Product "
2015,19810,26355.7,7331.1,2897.8,8987,3170.6,74792.8,22593,165938,74923.3,74956.9,1176941.2
2016,21269,29380,7834.5,3139.6,9440.2,3490.5,82570.4,24545,181669.1,82055.5,82093.4,1249697.7
2017,22948.4,33154.9,8352.1,3453,9895.3,3985.4,92847.3,26045.4,200681.9,87851,87895.1,1372310
2018,24733.1,37782.1,8798.6,3818.9,10482.2,4467.9,102523.9,27778.3,220385,94535.4,94575.4,1447759.6
2019,26406.8,43166.7,9379.5,4226.9,11307.1,4725.9,111121.6,29695,240029.5,102233.3,102272.3,1512737.8
2020,12137.9,35571.2,4863,1641.5,6307.6,4181.6,106560,29036.5,200299.2,28314.8,28350.8,1418490.9
2021,9712.6,33845.9,3682.1,1092.9,4215.3,4361.6,111617.8,30013.2,198541.4,11656.6,11660.1,1548700.8
2022,15133.1,42622.4,6329.1,3101.9,8199.4,6299.8,136747.3,31695.5,250128.5,47968.8,47982.5,1793903.1
2023,17967.1,45827.3,8483.3,3909.5,9488.5,7092.7,147943.6,35063.6,275775.6,81170.5,81191.9,1822904.4
