Year,"Perkhidmatan penginapan
Accommodation services","Perkhidmatan penyediaan makanan dan minuman
Food and beverage serving services","Perkhidmatan pengangkutan penumpang 
Passenger transport services","Perkhidmatan agensi pengembaraan dan penempahan lain 
Travel agencies and other reservation services","Perkhidmatan kebudayaan sukan dan rekreasi
Cultural sports and recreational services","Jualan runcit bahan api kenderaan
Retail sale of automotive fuel","Barang khusus bercirikan pelancongan negara
Country-specific tourism characteristic goods","Perkhidmatan khusus bercirikan pelancongan negara 
Country-specific tourism characteristic services","Jumlah
Total"
2015,6133.3,6295.7,3985.3,994.9,485.4,9197.3,8464.2,1948.3,37504.5
2016,6598.3,6813.8,4338.2,1255.9,496.3,8535.3,10714.3,2056.5,40808.4
2017,7164.1,7449.2,4629.4,1274.9,560.6,9109.0,14064.5,2019.4,46271.1
2018,7882.8,8372.5,5063.4,1392.0,684.3,9603.5,16187.6,2377.1,51563.2
2019,8625.7,9756.1,5617.4,1596.5,757.8,10533.5,18803.1,2896.3,58586.5
2020,2087.9,4969.6,2110.9,93.7,232.8,2109.9,9526.1,743.3,21874.2
2021,1087.4,1153.8,693.4,20.6,199.8,889.3,2176.9,694.1,6915.3
2022,5956.5,6186.5,4205.5,773.2,1318.1,5078.8,10310.1,1159.7,34988.5
2023,10653.5,8734.7,4837.5,1048.3,1336.2,6891.0,12159.9,1874.6,47535.7
