Year,"Perkhidmatan penginapan
Accommodation services","Perkhidmatan penyediaan makanan dan minuman
Food and beverage serving services","Perkhidmatan pengangkutan penumpang 
Passenger transport services","Perkhidmatan agensi pengembaraan dan penempahan lain 
Travel agencies and other reservation services","Perkhidmatan kebudayaan sukan dan rekreasi
Cultural sports and recreational services","Jualan runcit bahan api kenderaan
Retail sale of automotive fuel","Barang khusus bercirikan pelancongan negara
Country-specific tourism characteristic goods","Perkhidmatan khusus bercirikan pelancongan negara 
Country-specific tourism characteristic services","Jumlah
Total"
2015,23789.7,19424.0,17922.5,5219.6,3169.1,12126.8,47019.6,6507.2,135178.7
2016,26740.8,20914.6,19344.3,5877.7,3479.5,12597.0,52297.7,6865.9,148117.4
2017,28198.3,22896.4,20065.6,5501.0,3789.9,13201.8,58290.9,7449.0,159392.9
2018,29505.5,24570.2,20965.4,5270.5,3756.5,14325.9,64131.6,7898.1,170423.8
2019,30633.0,26721.7,22408.3,5650.6,4222.0,15965.7,68957.8,7500.2,182059.1
2020,5231.9,9508.6,4919.3,677.1,964.2,3651.2,25985.2,1390.9,52328.4
2021,1152.2,2861.7,1066.9,21.6,466.8,2038.9,9308.3,1005.5,17921.9
2022,11190.6,15328.1,11977.4,1515.2,3778.2,9165.6,36227.6,3846.0,93028.7
2023,25022.5,24377.4,21981.8,4345.4,5115.3,11975.6,56230.3,5454.7,154503.0
