Year,"Perkhidmatan penyediaan makanan dan minuman
Food and beverage serving services","Perkhidmatan pengangkutan penumpang 
Passenger transport services","Perkhidmatan agensi pengembaraan dan penempahan lain 
Travel agencies and other reservation services","Perkhidmatan kebudayaan sukan dan rekreasi
Cultural sports and recreational services","Jualan runcit bahan api kenderaan
Retail sale of automotive fuel","Barang khusus bercirikan pelancongan negara
Country-specific tourism characteristic goods","Perkhidmatan khusus bercirikan pelancongan negara 
Country-specific tourism characteristic services","Jumlah
Total"
2015,3022.1,574.7,59.7,483.5,2283.2,14727.9,1885.4,23036.6
2016,3497.9,530.1,9.0,559.1,3404.1,15662.5,2026.7,25689.3
2017,4001.1,585.7,9.2,673.6,3490.4,16084.7,2546.3,27391.0
2018,4413.1,714.1,8.9,705.9,4106.7,18570.3,2659.2,31178.2
2019,4946.4,767.1,7.0,937.5,4964.9,20230.2,2198.6,34051.7
2020,2527.7,395.3,0.8,336.3,1517.3,11741.3,241.6,16760.5
2021,1629.4,195.5,0.5,257.2,1149.4,7087.0,216.7,10535.7
2022,3538.6,611.2,1.3,704.3,3760.8,14629.1,983.1,24228.5
2023,5068.1,853.5,1.9,933.2,4335.7,18682.8,1265.3,31140.7
