Year,"Perkhidmatan penginapan
Accommodation services","Perkhidmatan penyediaan makanan dan minuman
Food and beverage serving services","Perkhidmatan pengangkutan penumpang 
Passenger transport services","Perkhidmatan agensi pengembaraan dan penempahan lain 
Travel agencies and other reservation services","Perkhidmatan kebudayaan sukan dan rekreasi
Cultural sports and recreational services","Jualan runcit bahan api kenderaan
Retail sale of automotive fuel","Barang khusus bercirikan pelancongan negara
Country-specific tourism characteristic goods","Perkhidmatan khusus bercirikan pelancongan negara 
Country-specific tourism characteristic services","Jumlah
Total"
2015,17656.4,9727.4,12952.3,4008.9,2117.7,622.1,22934.4,2573.3,72592.5
2016,20142.5,10190.2,14011.7,4433.3,2329.8,632.1,24912.0,2674.4,79325.9
2017,21034.2,10928.0,14297.4,4026.1,2439.9,575.2,26868.0,2752.8,82921.5
2018,21622.8,11274.1,14639.4,3702.0,2263.8,589.0,28101.2,2737.7,84929.9
2019,22007.3,11517.1,15456.2,3878.0,2421.2,447.7,28674.2,2304.8,86706.5
2020,3144.0,1907.2,2297.3,552.4,374.7,22.8,4473.9,385.0,13157.3
2021,64.8,49.7,168.4,0.4,7.8, -   ,10.8,87.8,389.8
2022,5234.1,5338.2,6834.3,705.7,1672.8,310.5,10755.0,1622.7,32473.3
2023,14369.0,10069.0,15616.7,3137.6,2709.7,713.1,24173.6,2204.1,72992.8
